Cust ID,Comment,Comment - Split 1,Comment - Split 2,Comment - Split 3,Comment - Split 4,Comment - Split 5,Comment - Split 6,Comment - Split 7,Comment - Split 8,Comment - Split 9,Comment - Split 10,Target,Service flag,CustType flag,Contact flag,New Flag,Choice flag,Loyal Status,Comp card flag,AcctType flag,Contact Flag2,HQ flag,Multi flag,NewCust Flag
1,prices                                                                                                                                                                                                                                                                                                      .more reward points                                                                                                                                                                                                                                                                                          .prices                                                                                                                                                                                                                                                                                                      .,prices,,,,,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
10,"clean shower and restroom, easy in and out                                                                                                                                                                                                                                                                  .cash 2 cents per quantp credit 1 cent per quantp                                                                                                                                                                                                                                                            .too pricey                                                                                                                                                                                                                                                                                                  .don’t even use it anymore",clean,shower,and,"restroom,",easy,in,and,out,,,1,1,1,1,2,1,1,0,0,0,0,0,0
100,productx price and rewards                                                                                                                                                                                                                                                                                  .cash rewards checks                                                                                                                                                                                                                                                                                         .too expensive                                                                                                                                                                                                                                                                                               .little returns,productx,price,and,rewards,,,,,,,0,1,2,2,2,1,1,0,0,0,0,0,0
102,food                                                                                                                                                                                                                                                                                                        .showers don’t fall off                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .,food,,,,,,,,,,0,2,2,1,1,1,1,0,0,0,0,0,0
103,not real busy                                                                                                                                                                                                                                                                                               .                                                                                                                                                                                                                                                                                                            .customers parked on productx island and no authority making them move                                                                                                                                                                                                                                       .,not,real,busy,,,,,,,,0,2,2,1,2,1,1,0,0,0,0,0,1
105,points food                                                                                                                                                                                                                                                                                                 .showers don’t fall off                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .,points,food,,,,,,,,,0,2,2,1,1,1,1,0,0,0,0,0,0
106,the productx is better than compT                                                                                                                                                                                                                                                                           .not sure                                                                                                                                                                                                                                                                                                    .                                                                                                                                                                                                                                                                                                            .,the,productx,is,better,than,compT,,,,,1,1,1,1,2,1,3,0,0,1,0,0,0
107,convenient - price of productx and food                                                                                                                                                                                                                                                                     .easy to use                                                                                                                                                                                                                                                                                                 .                                                                                                                                                                                                                                                                                                            .harder to use,convenient,-,price,of,productx,and,food,,,,1,2,2,1,2,1,3,0,0,0,0,0,0
109,"cleaner, friendlier people                                                                                                                                                                                                                                                                                  .points longer showers                                                                                                                                                                                                                                                                                       .rude.  Don’t take the time to know you                                                                                                                                                                                                                                                                      .points cancel too soon","cleaner,",friendlier,people,,,,,,,,1,1,1,1,2,2,1,0,0,0,0,0,0
11,showers very clean people working inside and outside very nice                                                                                                                                                                                                                                              .free showers and drinks                                                                                                                                                                                                                                                                                     .products are very much overpriced                                                                                                                                                                                                                                                                           .no free showers or drinks,showers,very,clean,people,working,inside,and,outside,very,nice,1,2,1,1,1,2,1,0,0,0,0,0,0
110,no real reason shopstops is good too                                                                                                                                                                                                                                                                        .                                                                                                                                                                                                                                                                                                            .preference                                                                                                                                                                                                                                                                                                  .,no,real,reason,shopstops,is,good,too,,,,1,1,1,2,2,1,1,0,0,0,0,0,0
111,quick to turn pump on                                                                                                                                                                                                                                                                                       .good selection                                                                                                                                                                                                                                                                                              .too much hassle about visa cards                                                                                                                                                                                                                                                                            .your points expire too quick,quick,to,turn,pump,on,,,,,,1,2,2,1,2,1,1,0,0,0,0,0,0
