Month,Ridership
1/1/1991,1708.917
1/2/1991,1620.586
1/3/1991,1972.715
1/4/1991,1811.665
1/5/1991,1974.964
1/6/1991,1862.356
1/7/1991,1939.86
1/8/1991,2013.264
1/9/1991,1595.657
1/10/1991,1724.924
1/11/1991,1675.667
1/12/1991,1813.863
1/1/1992,1614.827
1/2/1992,1557.088
1/3/1992,1891.223
1/4/1992,1955.981
1/5/1992,1884.714
1/6/1992,1623.042
1/7/1992,1903.309
1/8/1992,1996.712
1/9/1992,1703.897
1/10/1992,1810
1/11/1992,1861.601
1/12/1992,1875.122
1/1/1993,1705.259
1/2/1993,1618.535
1/3/1993,1836.709
1/4/1993,1957.043
1/5/1993,1917.185
1/6/1993,1882.398
1/7/1993,1933.009
1/8/1993,1996.167
1/9/1993,1672.841
1/10/1993,1752.827
1/11/1993,1720.377
1/12/1993,1734.292
1/1/1994,1563.365
1/2/1994,1573.959
1/3/1994,1902.639
1/4/1994,1833.888
1/5/1994,1831.049
1/6/1994,1775.755
1/7/1994,1867.508
1/8/1994,1906.608
1/9/1994,1685.632
1/10/1994,1778.546
1/11/1994,1775.995
1/12/1994,1783.35
1/1/1995,1548.415
1/2/1995,1496.925
1/3/1995,1798.316
1/4/1995,1732.895
1/5/1995,1772.345
1/6/1995,1761.207
1/7/1995,1791.655
1/8/1995,1874.82
1/9/1995,1571.309
1/10/1995,1646.948
1/11/1995,1672.631
1/12/1995,1656.845
1/1/1996,1381.758
1/2/1996,1360.852
1/3/1996,1558.575
1/4/1996,1608.42
1/5/1996,1696.696
1/6/1996,1693.183
1/7/1996,1835.516
1/8/1996,1942.573
1/9/1996,1551.401
1/10/1996,1686.508
1/11/1996,1576.204
1/12/1996,1700.433
1/1/1997,1396.588
1/2/1997,1371.69
1/3/1997,1707.522
1/4/1997,1654.604
1/5/1997,1762.903
1/6/1997,1775.8
1/7/1997,1934.219
1/8/1997,2008.055
1/9/1997,1615.924
1/10/1997,1773.91
1/11/1997,1732.368
1/12/1997,1796.626
1/1/1998,1570.33
1/2/1998,1412.691
1/3/1998,1754.641
1/4/1998,1824.932
1/5/1998,1843.289
1/6/1998,1825.964
1/7/1998,1968.172
1/8/1998,1921.645
1/9/1998,1669.597
1/10/1998,1791.474
1/11/1998,1816.714
1/12/1998,1846.754
1/1/1999,1599.427
1/2/1999,1548.804
1/3/1999,1832.333
1/4/1999,1839.72
1/5/1999,1846.498
1/6/1999,1864.852
1/7/1999,1965.743
1/8/1999,1949.002
1/9/1999,1607.373
1/10/1999,1803.664
1/11/1999,1850.309
1/12/1999,1836.435
1/1/2000,1541.66
1/2/2000,1616.928
1/3/2000,1919.538
1/4/2000,1971.493
1/5/2000,1992.301
1/6/2000,2009.763
1/7/2000,2053.996
1/8/2000,2097.471
1/9/2000,1823.706
1/10/2000,1976.997
1/11/2000,1981.408
1/12/2000,2000.153
1/1/2001,1683.148
1/2/2001,1663.404
1/3/2001,2007.928
1/4/2001,2023.792
1/5/2001,2047.008
1/6/2001,2072.913
1/7/2001,2126.717
1/8/2001,2202.638
1/9/2001,1707.693
1/10/2001,1950.716
1/11/2001,1973.614
1/12/2001,1984.729
1/1/2002,1759.629
1/2/2002,1770.595
1/3/2002,2019.912
1/4/2002,2048.398
1/5/2002,2068.763
1/6/2002,1994.267
1/7/2002,2075.258
1/8/2002,2026.56
1/9/2002,1734.155
1/10/2002,1916.771
1/11/2002,1858.345
1/12/2002,1996.352
1/1/2003,1778.033
1/2/2003,1749.489
1/3/2003,2066.466
1/4/2003,2098.899
1/5/2003,2104.911
1/6/2003,2129.671
1/7/2003,2223.349
1/8/2003,2174.36
1/9/2003,1931.406
1/10/2003,2121.47
1/11/2003,2076.054
1/12/2003,2140.677
1/1/2004,1831.508
1/2/2004,1838.006
1/3/2004,2132.446
