Month,Red 
01/01/1980,464
01/02/1980,675
01/03/1980,703
01/04/1980,887
01/05/1980,1139
01/06/1980,1077
01/07/1980,1318
01/08/1980,1260
01/09/1980,1120
01/10/1980,963
01/11/1980,996
01/12/1980,960
01/01/1981,530
01/02/1981,883
01/03/1981,894
01/04/1981,1045
01/05/1981,1199
01/06/1981,1287
01/07/1981,1565
01/08/1981,1577
01/09/1981,1076
01/10/1981,918
01/11/1981,1008
01/12/1981,1063
01/01/1982,544
01/02/1982,635
01/03/1982,804
01/04/1982,980
01/05/1982,1018
01/06/1982,1064
01/07/1982,1404
01/08/1982,1286
01/09/1982,1104
01/10/1982,999
01/11/1982,996
01/12/1982,1015
01/01/1983,615
01/02/1983,722
01/03/1983,832
01/04/1983,977
01/05/1983,1270
01/06/1983,1437
01/07/1983,1520
01/08/1983,1708
01/09/1983,1151
01/10/1983,934
01/11/1983,1159
01/12/1983,1209
01/01/1984,699
01/02/1984,830
01/03/1984,996
01/04/1984,1124
01/05/1984,1458
01/06/1984,1270
01/07/1984,1753
01/08/1984,2258
01/09/1984,1208
01/10/1984,1241
01/11/1984,1265
01/12/1984,1828
01/01/1985,809
01/02/1985,997
01/03/1985,1164
01/04/1985,1205
01/05/1985,1538
01/06/1985,1513
01/07/1985,1378
01/08/1985,2083
01/09/1985,1357
01/10/1985,1536
01/11/1985,1526
01/12/1985,1376
01/01/1986,779
01/02/1986,1005
01/03/1986,1193
01/04/1986,1522
01/05/1986,1539
01/06/1986,1546
01/07/1986,2116
01/08/1986,2326
01/09/1986,1596
01/10/1986,1356
01/11/1986,1553
01/12/1986,1613
01/01/1987,814
01/02/1987,1150
01/03/1987,1225
01/04/1987,1691
01/05/1987,1759
01/06/1987,1754
01/07/1987,2100
01/08/1987,2062
01/09/1987,2012
01/10/1987,1897
01/11/1987,1964
01/12/1987,2186
01/01/1988,966
01/02/1988,1549
01/03/1988,1538
01/04/1988,1612
01/05/1988,2078
01/06/1988,2137
01/07/1988,2907
01/08/1988,2249
01/09/1988,1883
01/10/1988,1739
01/11/1988,1828
01/12/1988,1868
01/01/1989,1138
01/02/1989,1430
01/03/1989,1809
01/04/1989,1763
01/05/1989,2200
01/06/1989,2067
01/07/1989,2503
01/08/1989,2141
01/09/1989,2103
01/10/1989,1972
01/11/1989,2181
01/12/1989,2344
01/01/1990,970
01/02/1990,1199
01/03/1990,1718
01/04/1990,1683
01/05/1990,2025
01/06/1990,2051
01/07/1990,2439
01/08/1990,2353
01/09/1990,2230
01/10/1990,1852
01/11/1990,2147
01/12/1990,2286
01/01/1991,1007
01/02/1991,1665
01/03/1991,1642
01/04/1991,1518
01/05/1991,1831
01/06/1991,2207
01/07/1991,2822
01/08/1991,2393
01/09/1991,2306
01/10/1991,1785
01/11/1991,2047
01/12/1991,2171
01/01/1992,1212
01/02/1992,1335
01/03/1992,2011
01/04/1992,1860
01/05/1992,1954
01/06/1992,2152
01/07/1992,2835
01/08/1992,2224
01/09/1992,2182
01/10/1992,1992
01/11/1992,2389
01/12/1992,2724
01/01/1993,891
01/02/1993,1247
01/03/1993,2017
01/04/1993,2257
01/05/1993,2255
01/06/1993,2255
01/07/1993,3057
01/08/1993,3330
01/09/1993,1896
01/10/1993,2096
01/11/1993,2374
01/12/1993,2535
01/01/1994,1041
01/02/1994,1728
01/03/1994,2201
01/04/1994,2455
01/05/1994,2204
01/06/1994,2660
01/07/1994,3670
01/08/1994,2665
01/09/1994,2639
01/10/1994,2226
01/11/1994,2586
01/12/1994,2684
