Cust_ID,Comment,Target,Service_flag,CustType_flag,Contact_flag,new_flag,Choice_flag,Loyal_Status,Comp_card_flag,AcctType_flag,Contact_Flag2,HQ_flag,Multi_flag,NewCust_Flag
1,prices                                                                                                                                                                                                                                                                                                      .more reward points                                                                                                                                                                                                                                                                                          .prices                                                                                                                                                                                                                                                                                                      .,1,2,2,1,2,1,1,0,0,0,0,0,0
10,"clean shower and restroom, easy in and out                                                                                                                                                                                                                                                                  .cash 2 cents per quantp credit 1 cent per quantp                                                                                                                                                                                                                                                            .too pricey                                                                                                                                                                                                                                                                                                  .don’t even use it anymore",1,1,1,1,2,1,1,0,0,0,0,0,0
100,productx price and rewards                                                                                                                                                                                                                                                                                  .cash rewards checks                                                                                                                                                                                                                                                                                         .too expensive                                                                                                                                                                                                                                                                                               .little returns,0,1,2,2,2,1,1,0,0,0,0,0,0
102,food                                                                                                                                                                                                                                                                                                        .showers don’t fall off                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .,0,2,2,1,1,1,1,0,0,0,0,0,0
103,not real busy                                                                                                                                                                                                                                                                                               .                                                                                                                                                                                                                                                                                                            .customers parked on productx island and no authority making them move                                                                                                                                                                                                                                       .,0,2,2,1,2,1,1,0,0,0,0,0,1
105,points food                                                                                                                                                                                                                                                                                                 .showers don’t fall off                                                                                                                                                                                                                                                                                      .                                                                                                                                                                                                                                                                                                            .,0,2,2,1,1,1,1,0,0,0,0,0,0
106,the productx is better than compT                                                                                                                                                                                                                                                                           .not sure                                                                                                                                                                                                                                                                                                    .                                                                                                                                                                                                                                                                                                            .,1,1,1,1,2,1,3,0,0,1,0,0,0
107,convenient - price of productx and food                                                                                                                                                                                                                                                                     .easy to use                                                                                                                                                                                                                                                                                                 .                                                                                                                                                                                                                                                                                                            .harder to use,1,2,2,1,2,1,3,0,0,0,0,0,0
109,"cleaner, friendlier people                                                                                                                                                                                                                                                                                  .points longer showers                                                                                                                                                                                                                                                                                       .rude.  Don’t take the time to know you                                                                                                                                                                                                                                                                      .points cancel too soon",1,1,1,1,2,2,1,0,0,0,0,0,0
11,showers very clean people working inside and outside very nice                                                                                                                                                                                                                                              .free showers and drinks                                                                                                                                                                                                                                                                                     .products are very much overpriced                                                                                                                                                                                                                                                                           .no free showers or drinks,1,2,1,1,1,2,1,0,0,0,0,0,0
